    580.83      240.82        0.71       40.90        0.05        0.04     1494.85
   1233.09      294.01        0.67       32.91        0.02        0.02     3173.53
   2321.24      350.76        0.71       35.45        0.01        0.01     5974.06
    209.12      510.24        1.26       23.83        0.15        0.15      538.20
   1939.36      608.21        0.79       30.62        0.01        0.01     4991.23
    175.76      767.32        0.84       14.47        0.07        0.09      452.35
    104.41      784.83        1.46       41.36        0.48        0.41      268.71
     97.53      910.32        1.17       14.78        0.20        0.18      251.00
    106.84      933.18        0.70       11.13        0.09        0.08      274.96
    561.44     1119.27        1.02       19.79        0.04        0.04     1444.95
    235.63     1237.06        1.02       15.20        0.07        0.06      606.44
    185.45     1376.23        1.05       31.93        0.20        0.11      477.27
   1676.19     1459.72        1.09       27.53        0.02        0.02     4313.92
     71.90     1508.42        0.85        8.19        0.11        0.08      185.05
     43.57     1660.15        1.10        6.36        0.18        0.15      112.15
    137.50     1728.54        1.05       10.38        0.10        0.06      353.87
    632.64     1763.34        1.28       26.91        0.07        0.04     1628.19
     88.61     1846.05        1.20       13.49        0.21        0.14      228.05
     35.70     2102.11        1.46        7.09        0.33        0.26       91.89
     45.62     2117.31        1.23        6.02        0.18        0.15      117.40
    212.21     2202.71        1.31        9.84        0.07        0.05      546.15
     49.91     2446.38        1.29        5.21        0.16        0.11      128.45
    409.27     2613.27        1.47       14.04        0.06        0.04     1053.31
