    581.93      241.65        0.71       28.97        0.04        0.03     1495.83
   1264.40      294.94        0.68       32.88        0.02        0.02     3250.11
   2318.83      351.77        0.71       35.30        0.01        0.01     5960.50
   1279.07      509.67        5.49     1399.35        0.00        2.43     3287.83
   1939.21      609.54        0.79       30.65        0.01        0.01     4984.69
    172.22      768.86        0.82       17.36        0.08        0.10      442.70
    115.24      787.83        2.03       47.00        0.00        0.48      296.21
    122.97      912.71        1.75       28.23        0.00        0.35      316.08
    105.39      934.85        0.69       11.53        0.09        0.08      270.89
    552.25     1121.23        1.00       18.49        0.04        0.03     1419.55
    244.72     1239.16        1.05       17.31        0.08        0.07      629.06
    182.37     1378.61        1.06       12.11        0.08        0.07      468.79
   1677.70     1462.10        1.09       27.15        0.02        0.02     4312.49
     87.47     1510.74        0.99        8.36        0.10        0.10      224.85
     44.50     1662.79        1.12        6.27        0.18        0.15      114.39
    168.99     1731.10        1.22       10.36        0.08        0.06      434.39
    600.48     1766.13        1.22       16.91        0.04        0.03     1543.51
     83.96     1848.96        1.17        7.21        0.11        0.09      215.82
     36.09     2105.30        1.47        6.61        0.30        0.24       92.76
     45.91     2120.52        1.23        5.42        0.16        0.14      118.00
    208.37     2206.04        1.28       10.01        0.07        0.05      535.62
     50.25     2449.97        1.29        5.37        0.16        0.11      129.16
    404.63     2617.09        1.45       14.85        0.06        0.05     1040.10
